id,name,speciality,address,city,state,zip,lat,lng
35,JACK HUGHSTON MEMORIAL HOSPITAL,T,328 South Ranchwood Manor Drive,Oklahoma City,OK,73139,35.3685432,-97.5194117
36,"HEALTHALLIANCE HOSPITALS, INC",V,405 Flint Ridge Court,Norman,OK,73072,35.222486,-97.507916
37,HALIFAX REGIONAL HOSPITAL,X,1544 Kenilworth Avenue Northeast,Washington,DC,20019,38.9109476,-76.9349666
38,"WESTFIELD MEMORIAL HOSPITAL, INC",J,20930 Todd Valley Road,Foresthill,CA,95631,38.989466,-120.883108
39,LAKE DISTRICT HOSPITAL,S,2 Sotelo Avenue,Piedmont,CA,94611,37.820272,-122.2195409
40,MORRIS COUNTY HOSPITAL,K,5601 West Crocus Drive,Glendale,AZ,85306,33.6152469,-112.179737
41,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,E,8213 Northwest 65th Place,Oklahoma City,OK,73132,35.539071,-97.66036600000001
42,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,B,140 West Cooper Avenue,Aspen,CO,81611,39.1892885,-106.8243943
43,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,N,6408 Fern Crest Road,Louisville,KY,40291,38.154488,-85.612144
44,COVENANT HOSPITAL LEVELLAND,R,5601 West Crocus Drive,Glendale,AZ,85306,33.6152469,-112.179737
45,EAST TEXAS MEDICAL CENTER MOUNT VERNON,B,1044 Stokes Road,Montgomery,AL,36110,32.439489,-86.247089
46,TIOGA MEDICAL CENTER,W,5811 Crossings Boulevard,Nashville,TN,37013,36.0370847,-86.6413728
47,CHRISTUS ST MICHAEL HEALTH SYSTEM,C,5908 Sedberry Road,Nashville,TN,37205,36.1148079,-86.869148
48,MAIN LINE HOSPITAL LANKENAU,A,750 West Dimond Boulevard,Anchorage,AK,99515,61.14393190000001,-149.894616
49,FRANKLIN MEMORIAL HOSPITAL,T,36528 Short Circle,Kenai,AK,99611,60.510223,-151.248721
50,MERCY HOSPITAL EL RENO,R,65 Clark Street,Newton,MA,02459,42.321396,-71.1995577
51,TROY COMMUNITY HOSPITAL,I,19259 North 61st Drive,Glendale,AZ,85308,33.659422,-112.191284
52,LITTLE FALLS HOSPITAL,G,1056 Cayer Drive,Glen Burnie,MD,21061,39.148696,-76.625305
53,ST MARY MERCY HOSPITAL,C,5311 Chenoweth Park Lane,Louisville,KY,40291,38.168051,-85.571491
54,SHARP CHULA VISTA MEDICAL CENTER,M,6604 West Montebello Avenue,Glendale,AZ,85301,33.520827,-112.2010089
55,MEMORIAL HERMANN KATY HOSPITAL,R,3620 Bentfield Drive,Nashville,TN,37013,36.045177,-86.620921
56,DELTA COMMUNITY MEDICAL CENTER,B,8614 Surf Drive,Panama City,FL,32408,30.1662655,-85.7887871
57,METHODIST HOSPITAL OF SOUTHERN CA,A,7407 North 75th Drive,Glendale,AZ,85303,33.54394670000001,-112.2209465
58,TALLAHATCHIE CRITICAL ACCESS HOSPITAL,A,189 Dalton Avenue,Pittsfield,MA,01201,42.459217,-73.22532799999999
59,CORNERSTONE REGIONAL HOSPITAL,G,645 Malaga Place,Panama City Beach,FL,32413,30.247191,-85.919702
60,TRINITY MEDICAL CTR EAST&TRINITY MEDICAL CTR WEST,M,37 Rushforde Drive,Manchester,CT,06040,41.738226,-72.538398
61,NORTHWEST TEXAS SURGERY CENTER,H,5458 Zephyr Court,Arvada,CO,80002,39.796439,-105.0852888
62,EXEMPLA SAINT JOSEPH HOSPITAL,O,9636 Morar Road,Panama City,FL,32409,30.324968,-85.620589
63,COMMUNITY MEDICAL CENTER INC,S,218 Oleander Drive,Panama City Beach,FL,32413,30.248032,-85.936684
64,ST MARYS HOSPITAL,K,2961 Vinson Road,Montgomery,AL,36110,32.42687530000001,-86.2080404
65,LEXINGTON REGIONAL HEALTH CENTER,J,2406 Lindbergh Drive,Louisville,KY,40208,38.215833,-85.775153
66,BRAZOSPORT REGIONAL HEALTH SYSTEM,Y,819 Beazer Lane,Nashville,TN,37013,36.047018,-86.642849
67,CRENSHAW COMMUNITY HOSPITAL,N,3321 Furman Boulevard,Louisville,KY,40220,38.2134349,-85.640439
68,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,D,9545 West 74th Avenue,Arvada,CO,80005,39.831067,-105.104237
69,JACKSON PARISH HOSPITAL,Z,233 Juniper Drive,South Burlington,VT,05403,44.473457,-73.176118
70,FORT SANDERS REGIONAL MEDICAL CENTER,G,2900 North Western Avenue,Edmond,OK,73012,35.687568,-97.53227299999999
71,CALLAHAN EYE FOUNDATION HOSPITAL,M,511 Norton Avenue,Nashville,TN,37207,36.2076149,-86.756013
72,MORTON PLANT HOSPITAL,Q,2552 Massachusetts Avenue Northwest,Washington,DC,20008,38.9165459,-77.057323
73,MARK TWAIN ST JOSEPH'S HOSPITAL,B,615 Sand Road,Severn,MD,21144,39.11421199999999,-76.655209
74,NEW ULM MEDICAL CENTER,C,159 North Pawlet Road,Pawlet,VT,05761,43.3834358,-73.204201
75,ALVARADO HOSPITAL MEDICAL CENTER,T,3031 Casa Drive,Nashville,TN,37214,36.143172,-86.643205
76,WARREN GENERAL HOSPITAL,I,98 Lincoln Street,Revere,MA,02151,42.418115,-71.027503
77,SOUTH GEORGIA MEDICAL CENTER,Q,4719 West Cochise Drive,Glendale,AZ,85302,33.580297,-112.161185
78,GREENWOOD COUNTY HOSPITAL,R,180 Intervale Avenue,Burlington,VT,05401,44.489187,-73.209839
79,AVERA ST ANTHONY'S HOSPITAL,U,2426 East Onyx Trail,Fayetteville,AR,72701,36.065707,-94.1276125
80,METHODIST CHARLTON MEDICAL CENTER,C,108 East 11th Avenue,Anchorage,AK,99501,61.2115071,-149.8824567
81,PIEDMONT FAYETTE HOSPITAL,U,600 Marshall Street,Louisville,KY,40202,38.2500352,-85.7423251
82,MERCY MEMORIAL HOSPITAL SYSTEM,T,2133 Boultier Street,Montgomery,AL,36106,32.35935200000001,-86.290418
83,SENTARA NORFOLK GENERAL HOSPITAL,E,1267 Martin Street,Nashville,TN,37203,36.1404897,-86.7695179
84,TRINITY HOSPITAL TWIN CITY,S,2406 Brighton Drive,Louisville,KY,40205,38.217094,-85.66769599999999
85,ST FRANCIS HOSPITAL,G,3601 South Portland Avenue,Oklahoma City,OK,73119,35.4290344,-97.58378119999999
86,MADISON COUNTY MEMORIAL HOSPITAL,X,9 Thomas Street,Ashland,MA,01721,42.2674218,-71.4978718
87,JANE TODD CRAWFORD HOSPITAL,B,66 Ocala Drive,Nashville,TN,37013,36.052152,-86.688237
88,CONROE REGIONAL MEDICAL CENTER,U,4001 Teton Lane,Norman,OK,73072,35.260964,-97.50088300000002
89,HARTON REGIONAL MEDICAL CENTER,H,150 Carter Street,Manchester,CT,06040,41.76556000000001,-72.473091
90,BIGGS GRIDLEY MEMORIAL HOSPITAL,Y,325 Joseph Circle,Southport,FL,32409,30.407817,-85.684715
91,MERCY SUBURBAN HOSPITAL,G,903 Mallard Creek Road,Saint Matthews,KY,40207,38.2384725,-85.63011589999999
92,ENDLESS MOUNTAINS HEALTH SYSTEMS,O,10222 Pine Glen Circle,Louisville,KY,40291,38.127418,-85.582233
93,MERCY MEDICAL CENTER-NEW HAMPTON,Z,1302 Cherry Street,Panama City,FL,32401,30.145626,-85.643289
94,FRYE REGIONAL MEDICAL CENTER,Z,8112 Equestrian Drive,Severn,MD,21144,39.123759,-76.664087
95,SISTEMA INTEGRADOS DE SALUD DEL SUR OESTE INC,U,430 Cornish Drive,Nashville,TN,37207,36.230277,-86.785924
96,BAY AREA HOSPITAL,H,120 Wells Avenue,Glen Burnie,MD,21061,39.180259,-76.63452
97,BLOWING ROCK HOSPITAL,D,195 Nursery Street,Springfield,MA,01104,42.1178409,-72.5892289
98,DAYTON VA MEDICAL CENTER,P,302 East Granada Street,Fayetteville,AR,72703,36.1004549,-94.15316299999999
99,"DOCTORS HOSPITAL OF TATTNALL, THE",J,714 East 33rd Street,Savannah,GA,31401,32.057619,-81.087919
100,TORRANCE MEMORIAL MEDICAL CENTER,N,1405 East 55th Street,Savannah,GA,31404,32.037246,-81.082886
101,ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER,X,5575 South Dakota Avenue Northeast,Washington,DC,20011,38.9565087,-77.0017809
102,SOUTHERN COOS HOSPITAL & HEALTH CENTER,P,6095 Terry Lane,Golden,CO,80403,39.807376,-105.191019
103,TILLAMOOK COUNTY GENERAL HOSPITAL,S,60 Desousa Drive,Manchester,CT,06040,41.7409259,-72.5619104
104,WESTERN MEDICAL CENTER SANTA ANA,A,124 Crane Street,Panama City,FL,32413,30.203032,-85.84606699999999
105,METROPOLITAN HOSPITAL OF MIAMI,N,833 Williamson Road,Montgomery,AL,36109,32.3955879,-86.22392699999999
106,GILMORE MEMORIAL HOSPITAL,C,89 High Ledge Circle,Manchester,CT,06040,41.7495971,-72.476336
107,ERIE VA MEDICAL CENTER,H,3394 Wilmington Road,Montgomery,AL,36105,32.344806,-86.301366
108,WHITTIER HOSPITAL MEDICAL CENTER,N,601 Farragut Place Northeast,Washington,DC,20017,38.951089,-76.997855
109,UNITED MEMORIAL MEDICAL CENTER,E,27 Cabbage Crossing,Savannah,GA,31411,31.92361,-81.06622899999999
110,TEXOMA MEDICAL CENTER,D,1311 Durrett Lane,Louisville,KY,40213,38.19042350000001,-85.71786039999999
111,UNIVERSITY OF TEXAS MEDICAL BRANCH GAL,W,13116 West Palo Verde Drive,Litchfield Park,AZ,85340,33.521955,-112.342071
112,SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES,E,12420 West Montebello Avenue,Litchfield Park,AZ,85340,33.519491,-112.32613
113,MARGARETVILLE MEMORIAL HOSPITAL,H,32 Amsden Street,Arlington,MA,02474,42.4043927,-71.138137
114,BERKSHIRE MEDICAL CENTER INC,I,20933 River Park Drive,Anchorage,AK,99577,61.288693,-149.491501
115,SUNBURY COMMUNITY HOSPITAL,W,903 Mallard Creek Road,Saint Matthews,KY,40207,38.2384725,-85.63011589999999
116,WRIGHT MEMORIAL HOSPITAL,K,463 Pecan Tree Drive,Montgomery,AL,36109,32.395855,-86.216154
117,DECATUR GENERAL HOSPITAL,V,2809 Rowland Avenue,Thunderbolt,GA,31404,32.0375603,-81.0605337
118,COAST PLAZA HOSPITAL,M,10826 Pointe Royal Drive,Bakersfield,CA,93311,35.2930007,-119.1225908
119,TEHACHAPI HOSPITAL,C,141 West Leslie Lane,Panama City Beach,FL,32407,30.184254,-85.813002
120,BROWNFIELD REGIONAL MEDICAL CENTER,T,531 Bobbin Mill Road,Lunenburg,VT,05906,44.476506,-71.6772529
121,PICKENS COUNTY MEDICAL CENTER,Y,2821 Tyson Place,Louisville,KY,40218,38.20344,-85.64027399999999
122,HAMILTON GENERAL HOSPITAL,C,8001 West 71st Avenue,Arvada,CO,80004,39.8262775,-105.0850228
123,ST EDWARD MERCY MEDICAL CENTER,N,904 Walthour Road,Savannah,GA,31410,32.006444,-80.962711
124,PATEWOOD MEMORIAL HOSPITAL,K,210 Beachcomber Drive,Pismo Beach,CA,93449,35.169193,-120.694434
125,HASKELL COUNTY COMMUNITY HOSPITAL,Y,1814 US Highway 98,Mexico Beach,FL,32456,29.943211,-85.41069499999999
126,DOYLESTOWN HOSPITAL,N,20375 Wisteria Street,Castro Valley,CA,94546,37.696683,-122.085865
127,WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL,I,17109 Guava Avenue,Panama City Beach,FL,32413,30.227626,-85.88994799999999
128,ROCKCASTLE REG HOSPITAL & RESPIRATORY CARE CTR,O,1987 Boxer Court,San Lorenzo,CA,94580,37.670738,-122.147019
129,KINGFISHER REGIONAL HOSPITAL,D,236 Middle Turnpike East,Manchester,CT,06040,41.783396,-72.51220599999999
130,BROWNFIELD REGIONAL MEDICAL CENTER,O,7030 Cotton Blossom Lane,Montgomery,AL,36117,32.3971726,-86.1651218
131,TRINITY ROCK ISLAND,N,8886 West 77th Circle,Arvada,CO,80005,39.838824,-105.0971129
132,BERRIEN COUNTY HOSPITAL,D,200 Boulder Road,Manchester,CT,06040,41.7792079,-72.494963
133,TRINITY MUSCATINE,H,5843 West McLellan Road,Glendale,AZ,85301,33.5330898,-112.1857087
134,MCLAREN BAY REGION,B,2707 Eden Street,Nashville,TN,37208,36.163691,-86.818445
135,PUNXSUTAWNEY AREA HOSPITAL,Y,355 Gillette Road,Nashville,TN,37211,36.061143,-86.70823299999999
136,MISSION COMMUNITY HOSPITAL - PANORAMA,E,6140 Fenton Street,Arvada,CO,80003,39.8080314,-105.0601435
137,IOWA METHODIST MEDICAL CENTER,O,6 Little Country Place,Savannah,GA,31406,32.003491,-81.0752801
138,METHODIST HEALTHCARE FAYETTE HOSPITAL,T,7822 West Peppertree Lane,Glendale,AZ,85303,33.5358779,-112.227705
139,MOTHER FRANCES HOSPITAL JACKSONVILLE,S,64 Church Street,Hardwick,MA,01031,42.3126052,-72.2026295
140,CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL,G,776 Morrill Road,Danville,VT,05828,44.46019,-72.137885
141,OCONEE MEDICAL CENTER,T,815 West Market Street,Louisville,KY,40202,38.2563384,-85.76448409999999
142,CENTRAL CAROLINA HOSPITAL,P,6148 Avon Avenue,San Gabriel,CA,91775,34.1107022,-118.0784535
143,ALICE HYDE MEDICAL CENTER,R,388 East Main Street,,VT,05753,43.9727945,-73.1023187
144,INOVA MOUNT VERNON HOSPITAL,E,143 Canton Court,Goodlettsville,TN,37072,36.3184574,-86.6940838
145,ST JOHN RIVER DISTRICT HOSPITAL,H,4463 Cato Road,Nashville,TN,37218,36.2193041,-86.8741757
146,ST ANTHONY HOSPITAL,H,984 Greendale Avenue,Needham,MA,02492,42.275811,-71.203287
147,LITTLE COMPANY OF MARY HOSPITAL,Z,82 The Commons,Moretown,VT,05660,44.253658,-72.753642
148,LITTLE RIVER MEMORIAL HOSPITAL,K,562 South Pierremont Drive,Fayetteville,AR,72701,36.05627330000001,-94.1251461
149,HARRISON COMMUNITY HOSPITAL,N,840 Fontaine Road,Derby,VT,05829,44.9209486,-72.08146409999999
150,MACNEAL  HOSPITAL,Y,307 Joel Street,Pooler,GA,31322,32.123265,-81.24991
151,GRADY GENERAL HOSPITAL,E,503 Blackwood Terrace Southeast,Calhoun,GA,30701,34.459017,-84.914659
152,PIGGOTT COMMUNITY HOSPITAL,C,2729 East 14th Street,Panama City,FL,32401,30.173293,-85.623364
153,UPMC NORTHWEST,N,8150 North 61st Avenue,Glendale,AZ,85302,33.555668,-112.1926295
154,JAY COUNTY HOSPITAL,R,15509 East 7th Circle,Aurora,CO,80011,39.728358,-104.807559
155,KATHERINE SHAW BETHEA HOSPITAL,N,8529 Old Harding Lane,Nashville,TN,37221,36.027995,-87.014506
156,VA MARYLAND HEALTHCARE SYSTEM - BALTIMORE,S,1630 Eton Way,Crofton,MD,21114,39.008958,-76.69134199999999
157,SINGING RIVER HOSPITAL,E,1032 Brayhill Road,Edmond,OK,73003,35.6752043,-97.4988948
158,HACKENSACK UNIVERSITY MEDICAL CENTER,L,4503 North Council Road,Bethany,OK,73008,35.5176604,-97.65550879999999
159,KAISER FOUNDATION HOSPITAL - SACRAMENTO,T,3 Kimball Street,Marblehead,MA,01945,42.504464,-70.833545
160,ST MARY'S WARRICK HOSPITAL INC,I,17020 West 64th Drive,Arvada,CO,80007,39.8131034,-105.1914804
161,HIGGINS GENERAL HOSPITAL,Y,653 Stratton Arlington Road,Stratton,VT,05360,43.04115300000001,-72.90772199999999
162,PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,B,40700 Penn Lane,Fremont,CA,94538,37.540659,-121.957693
163,RIVER PARK HOSPITAL,L,1189 Northwest End Avenue,Fayetteville,AR,72703,36.0793885,-94.19657190000001
164,SOUTH TEXAS HEALTH SYSTEM,M,915 Hargrove Street,Ardmore,OK,73401,34.184371,-97.13386190000001
165,MERCY ST FRANCIS HOSPITAL,V,5118 Augusta Road,Garden City,GA,31408,32.115334,-81.1650918
166,SHELBY BAPTIST MEDICAL CENTER,F,2456 22nd Avenue,Greeley,CO,80631,40.397153,-104.713982
167,MEDICAL CENTER OF PLANO,V,6604 West Montebello Avenue,Glendale,AZ,85301,33.520827,-112.2010089
168,GOOD SAMARITAN REGIONAL MEDICAL CENTER,D,3534 Saint Lawrence Road,Nashville,TN,37080,36.289224,-86.877681
169,COULEE COMMUNITY HOSPITAL,A,1983 Reidsville Street,Annapolis,MD,21401,38.9817243,-76.5313745
170,PROVIDENCE MEDICAL CENTER,A,2315 Kezey Court,Crofton,MD,21114,39.026915,-76.674661
171,HAYES GREEN BEACH MEMORIAL HOSPITAL,Q,3301 Nora Lane,Louisville,KY,40220,38.199844,-85.61509
172,FLORIDA HOSPITAL CARROLLWOOD,R,215 9th Street Northeast,Washington,DC,20002,38.892406,-76.993409
173,SAMARITAN HOSPITAL - PEOPLES HOSPITAL,D,2721 Lindsay Avenue,Louisville,KY,40206,38.263793,-85.700243
174,TWIN RIVERS REGIONAL MEDICAL CENTER,R,188 River Road,Essex,VT,05452,44.478846,-73.058294
175,OTSEGO MEMORIAL HOSPITAL,V,4 Marsh Haven Lane,Savannah,GA,31411,31.890955,-81.0497989
176,BENEDICTINE HOSPITAL,H,557 West Willoughby Road,Fayetteville,AR,72701,36.019975,-94.16828199999999
177,SHARON REGIONAL HEALTH SYSTEM,W,457 Mountain Village Boulevard,Mountain Village,CO,81435,37.93323040000001,-107.8515732
178,MARK TWAIN ST JOSEPH'S HOSPITAL,E,3413 Pheasant Run Road,Norman,OK,73072,35.2350656,-97.492398
179,COMMUNITY HOSPITAL,S,5743 Teller Street,Arvada,CO,80002,39.80117550000001,-105.0771143
180,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER,M,1838 Crofton Parkway,Crofton,MD,21114,38.9983069,-76.67975299999999
181,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,N,1622 Orchard Avenue,Louisville,KY,40213,38.198791,-85.709931
182,F F THOMPSON HOSPITAL,T,37608 2nd Street,Fremont,CA,94536,37.576224,-121.979386
183,VAIL VALLEY MEDICAL CENTER,Y,1011 San Jose Street,San Leandro,CA,94577,37.72956300000001,-122.147074
184,BRONSON BATTLE CREEK HOSPITAL,G,10700 South Pennsylvania Avenue,Oklahoma City,OK,73170,35.3612038,-97.5465148
185,FRANKFORT REGIONAL MEDICAL CENTER,E,8101 Vaughn Road,Montgomery,AL,36117,32.3409202,-86.17272229999999
186,SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,P,2406 Brighton Drive,Louisville,KY,40205,38.217094,-85.66769599999999
187,PROVIDENCE MEMORIAL HOSPITAL,O,8043 Cranberry Street,Anchorage,AK,99502,61.14769579999999,-149.9369466
188,CALVERT MEMORIAL HOSPITAL,U,243 New State Road,Manchester,CT,06042,41.7852763,-72.5551792
189,TRINITY MEDICAL CTR EAST&TRINITY MEDICAL CTR WEST,G,1015 Castle Road,Edmond,OK,73034,35.665019,-97.466045
190,METHODIST RICHARDSON MEDICAL CENTER,I,1536 Rachaels Ridge,Nashville,TN,37076,36.18696300000001,-86.5912759
191,CANNON MEMORIAL HOSPITAL,M,158 Euclid Avenue,San Leandro,CA,94577,37.7329999,-122.158683
192,LAKE POINTE MEDICAL CENTER,S,1030 Lake Claire Drive,Annapolis,MD,21409,39.048603,-76.448911
193,SWISHER MEMORIAL HOSPITAL,T,904 Shepherd Street Northwest,Washington,DC,20011,38.9396331,-77.0252273
194,BROMENN HEALTHCARE,V,7549 Delancey Street,Youngstown,FL,32466,30.278789,-85.51969199999999
195,WINDHAM COMM MEM HOSP & HATCH HOSP,A,21402 Caribbean Lane,Panama City Beach,FL,32413,30.25459499999999,-85.9513149
196,CENTRAL TEXAS MEDICAL CENTER,D,1046 Dudley Avenue,Louisville,KY,40204,38.2416535,-85.7188075
197,GREAT FALLS CLINIC MEDICAL CENTER,K,119 Antioch Pike,Nashville,TN,37211,36.10072,-86.72331
198,HARRISON MEDICAL CENTER,Y,37 Parlmont Park,Billerica,MA,01862,42.5725656,-71.2754739
199,CHRISTUS ST JOHN HOSPITAL,U,205 Harrison Avenue,Louisville,KY,40243,38.242139,-85.540162
200,FHN MEMORIAL HOSPITAL,U,1726 Bridgeview Lane,Lyndon,KY,40242,38.274743,-85.60430699999999
201,MORGAN COUNTY ARH HOSPITAL,W,731 Mumford Street,Anchorage,AK,99508,61.23023,-149.813463
202,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),I,1650 Garland Avenue,Fayetteville,AR,72703,36.0845144,-94.1751065
203,KAISER FOUNDATION HOSPITAL-SANTA ROSA,U,475 Maple Street,Holyoke,MA,01040,42.1995008,-72.61671040000002
204,THREE RIVERS COMMUNITY HOSPITAL,W,5556 West Northview Avenue,Glendale,AZ,85301,33.5433092,-112.1797889
205,SUMMA HEALTH SYSTEMS HOSPITALS,A,3823 Shannon Run Trail,Louisville,KY,40299,38.189447,-85.60028600000001
206,CLINICA ESPANOLA INC,O,5545 Saddlewood Lane,Brentwood,TN,37027,36.026888,-86.7576629
207,MASSACHUSETTS EYE AND EAR INFIRMARY,J,49548 Road 200,O'Neals,CA,93645,37.153463,-119.648192
208,WATONGA MUNICIPAL HOSPITAL,W,760 11th Street Southeast,Washington,DC,20003,38.879695,-76.99121
209,TLC HEALTH NETWORK,B,7822 Club Crest Drive,Arvada,CO,80005,39.8368309,-105.093756
210,OSWEGO HOSPITAL,X,594 Putnam Avenue,Cambridge,MA,02139,42.3568866,-71.10681559999999
211,SANTA CLARA VALLEY MEDICAL CENTER,Q,6716 South Mariposa Lane,Dublin,CA,94568,37.713863,-121.9110367
212,SUMMA WESTERN RESERVE HOSPITAL,R,3404 Lakeside Drive,Anchorage,AK,99515,61.131176,-149.943144
213,PARADISE VALLEY HOSPITAL,X,1403 12th Street Northwest,Washington,DC,20005,38.908957,-77.027838
214,PEACE HARBOR HOSPITAL,L,119 Redwood Road,Manchester,CT,06040,41.751289,-72.563575
215,HOLY SPIRIT HOSPITAL,V,308 Woodleaf Court,Glen Burnie,MD,21061,39.1425931,-76.6238441
216,MILLE LACS HEALTH SYSTEM,H,702 East 53rd Street,Savannah,GA,31405,32.041351,-81.089801
217,RED BUD REGIONAL HOSPITAL,I,7808 Baltimore Annapolis Boulevard,Glen Burnie,MD,21060,39.14247599999999,-76.590255
218,MURPHY MEDICAL CENTER INC,Q,9321 Amy Lane,Panama City Beach,FL,32407,30.186053,-85.79181899999999
219,"IRA DAVENPORT MEMORIAL HOSPITAL, INC",W,512 North Center Avenue,Panama City,FL,32401,30.15768199999999,-85.6292129
220,MOUNT AUBURN HOSPITAL,H,1 Tanaquay Court,Savannah,GA,31411,31.9358125,-81.0561826
221,CLEVELAND REGIONAL MEDICAL CTR,O,111 Lakeview Terrace,Lynn Haven,FL,32444,30.235297,-85.605544
222,MARLBOROUGH HOSPITAL,H,4444 Central Avenue,Fremont,CA,94536,37.55069599999999,-122.007419
223,ETMC CARTHAGE,G,6622 West Altadena Avenue,Glendale,AZ,85304,33.592075,-112.201329
224,HILTON HEAD REGIONAL MEDICAL CENTER,X,328 17th Street,Paso Robles,CA,93446,35.629985,-120.702516
225,ASHLEY COUNTY MEDICAL CENTER,C,19 Keyes Drive,Peabody,MA,01960,42.5425539,-70.9493447
226,REHOBOTH MCKINLEY CHRISTIAN HEALTH SER,C,8302 Star Point Court,Prospect,KY,40059,38.33918999999999,-85.591943
