id,name,speciality,address,city,state,zip,lat,lng
48,SISTERSVILLE GENERAL HOSPITAL,T,2755 Country Drive,Fremont,CA,94536,37.557882,-121.986823
49,INTEGRIS MARSHALL COUNTY MEDICAL CENTER,L,10277 West 52nd Place,Wheat Ridge,CO,80033,39.791729,-105.112499
50,WASHINGTON COUNTY MEMORIAL HOSPITAL,C,3321 Furman Boulevard,Louisville,KY,40220,38.2134349,-85.640439
51,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,F,190 Exchange Street,Lawrence,MA,01841,42.7211588,-71.1725647
52,KERN MEDICAL CENTER,N,2068 Happy Lane,Crofton,MD,21114,39.013318,-76.6754904
53,GRAND LAKE HEALTH SYSTEM,E,2316 Northwest 113th Street,Oklahoma City,OK,73120,35.585194,-97.555205
54,PEACHEALTH ST JOHN MEDICAL CENTER,K,39 Newhall Street,Lynn,MA,01902,42.4616169,-70.93997499999999
55,BONNER GENERAL HOSPITAL,X,1558 Goodfellow Road,Groton,VT,05046,44.239583,-72.21828599999999
56,GEORGE L MEE MEMORIAL HOSPITAL,I,7730 Wilkinson Road,Nashville,TN,37080,36.355341,-86.85562399999999
57,"ST ALPHONSUS MEDICAL CENTER - ONTARIO, INC",V,3219 Lakeshore Drive,Nashville,TN,37138,36.242959,-86.625265
58,VILLA FELICIANA MEDICAL COMPLEX,J,4253 San Juan Avenue,Fremont,CA,94536,37.560886,-122.021195
59,WELLINGTON REGIONAL MEDICAL CENTER,Q,1780 142nd Avenue,San Leandro,CA,94578,37.7168246,-122.1336681
60,CALHOUN HEALTH SERVICES,R,712 Southwest 1st Street,Moore,OK,73160,35.3370771,-97.4992535
61,T J SAMSON COMMUNITY HOSPITAL,P,628 Ayrlie Water Road,Gibson Island,MD,21056,39.0739089,-76.4241189
62,MEDWEST HARRIS,I,5929 West Via Montoya Drive,Glendale,AZ,85310,33.68642,-112.188159
63,SCHUYLKILL MEDICAL CENTER - EAST NORWEGIAN STREET,T,4725 Royal Oak Drive,Oklahoma City,OK,73135,35.417909,-97.448348
64,SALINAS VALLEY MEMORIAL HOSPITAL,Z,1026 Orchard Avenue,Louisville,KY,40213,38.1687304,-85.71964659999999
65,CLINCH MEMORIAL HOSPITAL,L,16040 North 67th Drive,Peoria,AZ,85382,33.63178500000001,-112.203607
66,POTOMAC VALLEY HOSPITAL,N,207 Spruce Street,Manchester,CT,06040,41.7690054,-72.51569599999999
67,MERCY FRANCISCAN HOSPITAL - MT AIRY,H,1772 150th Avenue,San Leandro,CA,94578,37.708643,-122.124605
68,HI-DESERT MEDICAL CENTER,O,7758 Betty Louise Drive,Panama City,FL,32404,30.142779,-85.5594799
69,DRUMRIGHT REGIONAL HOSPITAL,S,31770 Alvarado Boulevard,Union City,CA,94587,37.5927298,-122.071967
70,UPSON REGIONAL MEDICAL CENTER,X,1641 Kramer Street Northeast,Washington,DC,20002,38.897659,-76.980705
71,FRYE REGIONAL MEDICAL CENTER,U,412 West Ila Street,Fayetteville,AR,72701,36.071266,-94.165154
72,INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,U,10891 Kamishak Bay Circle,Anchorage,AK,99515,61.122221,-149.948331
73,TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,K,175 Creek Road,Castleton,VT,05735,43.6055996,-73.2336737
74,SANFORD WESTBROOK MEDICAL CENTER,E,4401 Burlington Place Northwest,Washington,DC,20016,38.950554,-77.0864351
75,BULLOCK COUNTY HOSPITAL,V,16 Ambassador Drive,Manchester,CT,06042,41.7954346,-72.4981635
76,TANNER MEDICAL CENTER - CARROLLTON,X,11901 Northern Raven Drive,Anchorage,AK,99516,61.112897,-149.837535
77,UNION COUNTY GENERAL HOSPITAL,P,5444 Nicole Boulevard,Panama City,FL,32404,30.238007,-85.562274
78,TYLER COUNTY HOSPITAL,Q,115 Colemont Court,Nashville,TN,37013,36.0603,-86.698751
79,"PIONEER HEALTH SERVICES OF PATRICK COUNTY,INC",U,3203 US Highway 98,Mexico Beach,FL,32456,29.9491178,-85.41958989999999
80,METROPLEX HOSPITAL,O,7144 Marlborough Terrace,Berkeley,CA,94705,37.8619142,-122.2237384
81,MARK REED HOSPITAL & HEALTHCARE CLINIC,E,10802 Brickside Court,Riverview,FL,33579,27.801051,-82.327653
82,ST JOHN MEDICAL CENTER,P,4329 Howe Street,Oakland,CA,94611,37.83019,-122.249552
83,WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND,R,82 Lookout Mountain Drive,Manchester,CT,06040,41.75723,-72.491035
84,PROVENA MERCY MEDICAL CENTER,C,802 Virginia Avenue,Lynn Haven,FL,32444,30.246475,-85.65459899999999
85,UNITED HOSPITAL CENTER,G,8772 West 79th Avenue,Arvada,CO,80005,39.840584,-105.095834
86,FAIRVIEW SOUTHDALE HOSPITAL,R,294 East Lakeshore Drive,Colchester,VT,05446,44.545238,-73.210098
87,MILFORD REGIONAL MEDICAL CENTER,X,9119 Whispering Willow Way,Tampa,FL,33614,28.0363871,-82.5203646
88,PROVIDENCE SAINT JOSEPH MEDICAL CTR,M,1644 Queenstown Road,Nichols Hills,OK,73116,35.542511,-97.547282
89,MAGNOLIA HOSPITAL,V,5600 Carmichael Road,Montgomery,AL,36117,32.3584559,-86.212352
90,SEQUOIA HOSPITAL,X,123 Remember Baker Lane,Hartford,VT,05001,43.6696484,-72.4299719
91,NEWMAN MEMORIAL HOSPITAL,B,1025 West 19th Street,Panama City,FL,32405,30.18252889999999,-85.676771
92,PRIMARY CHILDRENS MEDICAL CENTER,B,422 Richmond Street,El Cerrito,CA,94530,37.9028101,-122.2981152
93,ST EDWARD MERCY MEDICAL CENTER,B,6604 North 59th Avenue,Glendale,AZ,85301,33.5340739,-112.186878
94,PROVIDENCE MEDICAL CENTER,G,123 Remember Baker Lane,Hartford,VT,05001,43.6696484,-72.4299719
95,ST MARY'S MEDICAL CENTER,B,351 Porter Street,Manchester,CT,06040,41.77366,-72.497158
96,SUTTER TRACY COMMUNITY HOSPITAL,Q,208 Southeast 19th Street,Oklahoma City,OK,73129,35.445591,-97.508117
97,MERCY GENERAL HOSPITAL,N,3008 Russell Street,Berkeley,CA,94705,37.8588565,-122.2442037
98,BOLIVAR MEDICAL CENTER,L,1804 Calhoun Avenue,Panama City,FL,32405,30.181413,-85.693748
99,INTERFAITH MEDICAL CENTER,E,460 Woodbridge Street,Manchester,CT,06042,41.7901797,-72.5061049
100,ABRAHAM LINCOLN MEMORIAL HOSPITAL,I,3620 Colmar Drive,Louisville,KY,40211,38.235977,-85.81636
101,MEDICAL CENTER OF MANCHESTER,G,401 East Northern Lights Boulevard,Anchorage,AK,99503,61.19566319999999,-149.8762046
102,MIZELL MEMORIAL HOSPITAL,E,3180 Parthenon Avenue,Nashville,TN,37203,36.1449179,-86.821767
103,WADLEY REGIONAL MEDICAL CENTER,K,6108 Iris Way,Arvada,CO,80004,39.8082309,-105.1055592
104,ST JOSEPH HOSPITAL,S,33 Pond Avenue,Brookline,MA,02445,42.33094200000001,-71.1145331
105,SHERIDAN COMMUNITY HOSPITAL,K,816 East 69th Street,Savannah,GA,31405,32.027691,-81.094798
106,MOUNTAINSIDE HOSPITAL,Z,1328 Jenks Avenue,Panama City,FL,32401,30.1726222,-85.6620902
107,ALBERT EINSTEIN MEDICAL CENTER,I,1234 Carmel Street,Madera,CA,93638,36.949941,-120.043739
108,ALEGENT HEALTH MERCY HOSPITAL,V,1213 Michigan Avenue,Lynn Haven,FL,32444,30.239862,-85.6460929
109,TRACE REGIONAL HOSP AND SWING BED,E,1304 Southwest 67th Street,Oklahoma City,OK,73159,35.3978899,-97.53921899999999
110,INDIANA UNIVERSITY HEALTH,N,1424 Winter Avenue,Louisville,KY,40204,38.2369017,-85.72480499999999
111,ST VINCENT RANDOLPH HOSPITAL INC,R,3601 South Portland Avenue,Oklahoma City,OK,73119,35.4290344,-97.58378119999999
112,NASH GENERAL HOSPITAL,G,1046 Dudley Avenue,Louisville,KY,40204,38.2416535,-85.7188075
113,SOUTHWEST ALABAMA MEDICAL CENTER,M,53 Fairfield Street,Manchester,CT,06040,41.7663468,-72.53781099999999
114,MERCY REGIONAL HEALTH CENTER,X,238 La Salle Avenue,Piedmont,CA,94610,37.815231,-122.226949
115,SPARTA COMMUNITY HOSPITAL,I,13426 North 54th Drive,Glendale,AZ,85304,33.607281,-112.17645
116,UNION GENERAL HOSPITAL,Y,445 South Potomac Circle,Aurora,CO,80012,39.705341,-104.830397
117,UNIONTOWN HOSPITAL,O,4822 Piney Branch Road Northwest,Washington,DC,20011,38.949121,-77.03550899999999
118,VALLEY HOSPITAL MEDICAL CENTER,I,3208 Southwest 65th Street,Oklahoma City,OK,73159,35.4007238,-97.57232789999999
119,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,L,14505 Landis Villa Drive,Louisville,KY,40245,38.2390052,-85.4969588
120,DESERT VALLEY HOSPITAL,V,95 Central Street,Springfield,MA,01105,42.098581,-72.57880999999999
121,JOHN DEMPSEY HOSPITAL,Q,2133 Boultier Street,Montgomery,AL,36106,32.35935200000001,-86.290418
122,NORWEGIAN-AMERICAN HOSPITAL,Z,1114 Barley Drive,Montgomery,AL,36111,32.329514,-86.284313
123,WOMAN'S HOSPITAL AT RIVER OAKS,J,815 Plantation Drive,Panama City,FL,32404,30.131391,-85.55842299999999
124,ORLANDO HEALTH,C,6419 8th Street Northwest,Washington,DC,20012,38.968037,-77.02396399999999
125,GRAND RIVER MEDICAL CENTER,Y,737 Nelson Road,Ludlow,VT,05149,43.4366441,-72.6701594
126,ST JOHNS HOSPITAL,P,56 Channing Drive,Manchester,CT,06040,41.76718959999999,-72.5616813
127,"MAYO CLINIC HEALTH SYSTEM - NORTHLAND, INC",O,53 Fairfield Street,Manchester,CT,06040,41.7663468,-72.53781099999999
128,HARPER HOSPITAL DISTRICT NO 5,C,1164 Middle Turnpike West,Manchester,CT,06040,41.7808152,-72.57570439999999
129,UPMC MCKEESPORT,H,962 South Silverado Drive,Fayetteville,AR,72701,36.052776,-94.1399945
130,BAYLOR SURGICAL HOSPITAL AT FORT WORTH,D,207 Spruce Street,Manchester,CT,06040,41.7690054,-72.51569599999999
131,MISSISSIPPI METHODIST REHAB CTR,E,905 C Street Northeast,Washington,DC,20002,38.893361,-76.993438
132,CHATHAM HOSPITAL INC,T,6148 Avon Avenue,San Gabriel,CA,91775,34.1107022,-118.0784535
133,HARPER COUNTY COMMUNITY HOSPITAL,P,1605 Remington Road,Edmond,OK,73034,35.7062389,-97.458961
134,RIVERVIEW REGIONAL MEDICAL CENTER,F,3111 West Place Southeast,Washington,DC,20020,38.863464,-76.96216199999999
135,SUTTER COAST HOSPITAL,M,4112 Rockdale Street,Savannah,GA,31405,32.048777,-81.13081199999999
136,BOZEMAN DEACONESS HOSPITAL,W,5316 Silver Wing Boulevard,Louisville,KY,40241,38.31594,-85.556752
137,LEWISGALE MEDICAL CENTER,O,138 Bolton Street,Manchester,CT,06040,41.78313,-72.53699800000001
138,OCONEE REGIONAL MEDICAL CENTER,W,2632 Jackson Street East,Carson,CA,90810,33.8360282,-118.2202665
139,NORTH CHICAGO VA MEDICAL CENTER,H,4981 Shirley Way,Livermore,CA,94550,37.682649,-121.733308
140,LITTLE RIVER MEMORIAL HOSPITAL,P,3102 Kinvara Lane,Louisville,KY,40242,38.291202,-85.59211599999999
141,SPOKANE VA MEDICAL CENTER,B,6073 Harlan Street,Arvada,CO,80003,39.807061,-105.062959
142,WHITE COUNTY COMMUNITY HOSPITAL,R,9 Brooklyn Street,,VT,05488,44.924599,-73.12809399999999
143,DELTA MEDICAL CENTER,R,311 South Panama Street,Montgomery,AL,36107,32.376833,-86.27416099999999
144,ASHLAND HEALTH CENTER,N,71 Racine Road,,VT,05468,44.6228841,-73.1443245
145,SPRINGS MEMORIAL HOSPITAL,H,457 Mountain Village Boulevard,Mountain Village,CO,81435,37.93323040000001,-107.8515732
146,ARIZONA SPINE AND JOINT HOSPITAL,P,5109 39th Street Northwest,Washington,DC,20016,38.956043,-77.07687419999999
147,ADVOCATE GOOD SHEPHERD HOSPITAL,X,1164 Middle Turnpike West,Manchester,CT,06040,41.7808152,-72.57570439999999
148,WYTHE COUNTY COMMUNITY HOSPITAL,A,10313 Durham Drive,Oklahoma City,OK,73162,35.574871,-97.66011999999999
149,YAMPA VALLEY MEDICAL CENTER,S,713 Flight Avenue,Panama City,FL,32404,30.16274,-85.601878
150,NATIONAL PARK MEDICAL CENTER,S,618 Amberjack Drive,Panama City,FL,32408,30.153991,-85.73084999999999
151,PAULS VALLEY GENERAL HOSPITAL,T,45 Heathcote Circle,Savannah,GA,31405,32.045014,-81.17197
152,ADVOCATE TRINITY HOSPITAL,K,2100 North Leverett Avenue,Fayetteville,AR,72703,36.090445,-94.16954299999999
153,SOUTHEAST ARIZONA MEDICAL CENTER,Q,3718 Bay Tree Road,Lynn Haven,FL,32444,30.205726,-85.63441999999999
154,PARKER ADVENTIST HOSPITAL,J,1583 Elberta Court,Severn,MD,21144,39.139112,-76.715386
155,SPECTRUM HEALTH - REED CITY CAMPUS,K,8427 West Glendale Avenue,Glendale,AZ,85305,33.5372122,-112.2411629
156,MUSKOGEE VA MEDICAL CENTER,A,1583 Elberta Court,Severn,MD,21144,39.139112,-76.715386
157,HARRINGTON MEMORIAL HOSPITAL,F,606 Spence Enclave Way,Nashville,TN,37210,36.1534208,-86.7201705
158,NORTHERN PINES MEDICAL CENTER,Q,10841 Sutter Circle,Sutter Creek,CA,95685,38.378499,-120.775775
159,CENTENNIAL MEDICAL CENTER,B,8915 Shevie Drive,Louisville,KY,40272,38.1254107,-85.84821219999999
160,UNIVERSITY MEDICAL CENTER OF EL PASO,G,53 Great Woods Road,Saugus,MA,01906,42.4876509,-71.0107549
161,HALLMARK HEALTH SYSTEM,L,467 Biscayne Avenue Northwest,Palm Bay,FL,32907,28.009056,-80.689599
162,RIVERSIDE MEDICAL CENTER,Y,915 Arkansas Avenue,Lynn Haven,FL,32444,30.244151,-85.6392089
163,THIBODAUX REGIONAL MEDICAL CENTER,I,1515 Excelsior Avenue,Oakland,CA,94602,37.8019867,-122.2252044
164,EPIC MEDICAL CENTER,Y,424 Callan Avenue,San Leandro,CA,94577,37.72780789999999,-122.152331
165,MARTHA JEFFERSON HOSPITAL,L,2631 Northrup Place,Anchorage,AK,99508,61.1968802,-149.8365951
166,REGIONAL HOSPITAL OF SCRANTON,A,10612 Middleground Road,Savannah,GA,31419,31.9923601,-81.1533628
167,COMMUNITY MEMORIAL HOSPITAL,G,2245 Southwest Binkley Street,Oklahoma City,OK,73119,35.432756,-97.5522003
168,HARMON MEMORIAL HOSPITAL,V,38252 Farwell Drive,Fremont,CA,94536,37.5376257,-122.0104815
169,PARMA COMMUNITY GENERAL HOSPITAL,X,311 Oak Street,Manchester,CT,06040,41.7709068,-72.5057484
170,BLUFFTON REGIONAL MEDICAL CENTER,S,910 Arlington Terrace,Fayetteville,AR,72701,36.077652,-94.14529000000002
171,MEMORIAL HOSPITAL LOS BANOS,Q,12 Saint Andrews Crossover,Severna Park,MD,21146,39.086046,-76.593603
172,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,U,5114 Greentree Drive,Nashville,TN,37211,36.0618539,-86.738508
173,CARLISLE REGIONAL MEDICAL CENTER,E,3040 17th Street,Boulder,CO,80304,40.0308834,-105.2748855
174,SSM ST JOSEPH HOSPITAL WEST,N,619 West 19th Avenue,Anchorage,AK,99503,61.2031692,-149.8950954
175,OZARKS COMMUNITY HOSPITAL OF GRAVETTE,O,628 Ayrlie Water Road,Gibson Island,MD,21056,39.0739089,-76.4241189
176,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT,X,419 Wabasso Avenue,Louisville,KY,40209,38.1812976,-85.7511801
177,ALBERT EINSTEIN MEDICAL CENTER,J,560 Penstock Drive,Grass Valley,CA,95945,39.213076,-121.077583
178,MERCY ST VINCENT MEDICAL CENTER,V,4000 Albemarle Street Northwest,Washington,DC,20016,38.9476685,-77.0790659
179,PINNACLE SPECIALTY HOSPITAL,I,110 Castle Hill,Manchester,CT,06040,41.7820711,-72.4827912
180,RIDDLE MEMORIAL HOSPITAL,I,2130 Loren Circle,Fayetteville,AR,72701,36.071889,-94.191613
181,DEFIANCE REGIONAL MEDICAL CENTER,M,1054 Overton Lea Road,Nashville,TN,37220,36.077622,-86.79813
182,BON SECOURS HOSPITAL,R,1320 Dunbarton Road,Montgomery,AL,36117,32.401737,-86.19376799999999
183,SWEDISH AMERICAN HOSPITAL,U,1607 Louisiana Avenue,Panama City,FL,32405,30.177473,-85.651614
184,HARRINGTON MEMORIAL HOSPITAL,B,9515 West 74th Avenue,Arvada,CO,80005,39.831067,-105.103952
185,ETMC CARTHAGE,Q,4493 Heath Circle,Rohnert Park,CA,94928,38.367468,-122.687717
186,WYOMING COUNTY COMMUNITY HOSPITAL,Y,1478 Sharps Point Road,Annapolis,MD,21409,39.003222,-76.43876399999999
187,TETON MEDICAL CENTER,M,9 Kimball Court,Burlington,MA,01803,42.501798,-71.168725
188,UNION HOSPITAL INC,S,116 Queens Lane,Nashville,TN,37218,36.214841,-86.859562
189,TRUMBULL MEMORIAL HOSPITAL,O,1014 South 2nd Street,Louisville,KY,40203,38.2381394,-85.7567894
190,CLAY COUNTY MEDICAL CENTER,W,4401 Virginia Avenue,Louisville,KY,40211,38.24072,-85.82687899999999
191,LAKE BUTLER HOSPITAL HAND SURGERY CENTER,C,5114 Greentree Drive,Nashville,TN,37211,36.0618539,-86.738508
192,JOHN RANDOLPH MEDICAL CENTER,P,2330 39th Street Northwest,Washington,DC,20007,38.92017,-77.07734099999999
193,TANNER MEDICAL CENTER VILLA RICA,A,2121 Stepping Stone Trail,Edmond,OK,73013,35.6315432,-97.51250619999999
194,TIOGA MEDICAL CENTER,X,3420 Horseshoe Circle,Montgomery,AL,36116,32.3220918,-86.2254811
195,DANVILLE REGIONAL MEDICAL CENTER,I,425 Buckhalter Road,Savannah,GA,31405,32.027443,-81.17224999999999
196,MERRIMACK VALLEY HOSPITAL,U,1931 Beauvoir Lake Drive,Montgomery,AL,36117,32.354542,-86.193607
197,PEACHEALTH ST JOHN MEDICAL CENTER,K,4712 Rock Creek Road,Ardmore,OK,73401,34.182105,-97.19224500000001
198,LAWRENCE GENERAL HOSPITAL,B,1259 Everett Avenue,Louisville,KY,40204,38.23790650000001,-85.7139049
199,SOUTH SHORE HOSPITAL,P,7192 West Topeka Drive,Glendale,AZ,85308,33.6583238,-112.2149837
200,MASSAC MEMORIAL HOSPITAL,J,3377 Sandstone Court,Pleasanton,CA,94588,37.680463,-121.860128
201,FLAGSTAFF MEDICAL CENTER,M,875 Latouche Street,Anchorage,AK,99501,61.2132529,-149.8608243
202,DOUGLAS COUNTY HOSPITAL,A,2613 Southeast 50th Street,Oklahoma City,OK,73129,35.415036,-97.46544999999999
203,BUCHANAN GENERAL HOSPITAL,S,14 Short Circle,Conway,AR,72032,35.0045975,-92.40435640000001
204,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,R,1157 1st Street Northwest,Washington,DC,20001,38.90538280000001,-77.0121662
205,DUBOIS REGIONAL MEDICAL CENTER,F,3815 Williams Street,Anchorage,AK,99508,61.185711,-149.8443848
206,PERKINS COUNTY HEALTH SERVICES,W,23501 Ida Lane,Hayward,CA,94541,37.660696,-122.100733
207,COMANCHE COUNTY MEMORIAL HOSPITAL,O,5116 Emmanuel Avenue,Anchorage,AK,99508,61.1897802,-149.7867626
208,MOUNTAINSIDE HOSPITAL,G,144 Lauderdale Street,Montgomery,AL,36116,32.309978,-86.259716
209,KIOWA DISTRICT HOSPITAL,U,8219 Minor Lane,Louisville,KY,40219,38.12841,-85.7107249
210,VALLEY VIEW MEDICAL CENTER,J,5 Centercrest Drive,Tyngsborough,MA,01879,42.670101,-71.4206892
211,"MAYO CLINIC HLTH SYSTM, FRANCISCAN HLTHCARE-SPARTA",H,21 Soling Avenue,Savannah,GA,31419,32.0376484,-81.2540562
212,HARPER HOSPITAL DISTRICT NO 5,I,3436 Lexington Road,Montgomery,AL,36111,32.342856,-86.298278
213,BACON COUNTY HOSPITAL,S,253 Colt Drive,Nashville,TN,37221,36.087114,-86.943151
214,GOVE COUNTY MEDICAL CENTER,T,968 Virginia Avenue,Olivehurst,CA,95961,39.1022419,-121.581218
215,VENICE REGIONAL MEDICAL CENTER,Z,701 Mussel Slough Road,Hanford,CA,93230,36.353319,-119.655288
216,ST JOSEPH HEALTH SERVICES OF RI,A,2868 Peak Road,Wheelock,VT,05851,44.5485909,-72.0880196
217,STEPHENS MEMORIAL HOSPITAL,O,1 Kempf Drive,Easton,MA,02375,42.0505989,-71.08029379999999
218,AVERA HOLY FAMILY HOSPITAL,D,721 Bay Ridge Avenue,Annapolis,MD,21403,38.9686337,-76.4861383
219,MERCER COUNTY HOSPITAL,I,3612 Jim Robison Drive,Edmond,OK,73013,35.6196504,-97.4676195
220,FRENCH HOSPITAL MEDICAL CENTER,O,14003 Crossbranch Court,Louisville,KY,40245,38.242033,-85.489885
221,PARADISE VALLEY HOSPITAL,N,549 Elysian Fields Road,Nashville,TN,37211,36.084314,-86.746375
222,BURNETT MED CTR,E,7041 Coe Road,Panama City,FL,32404,30.2716997,-85.5325422
223,LITZENBERG MEMORIAL COUNTY HOSPITAL,K,4109 General Bate Drive,Nashville,TN,37204,36.099427,-86.787756
224,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,U,3500 South College Avenue,Fort Collins,CO,80525,40.5392903,-105.0752914
225,HIGHLANDS HOSPITAL,A,313 Wiley Street,Nashville,TN,37115,36.269119,-86.706063
226,CUMBERLAND MEDICAL CENTER,D,1725 Oxford Street,Berkeley,CA,94709,37.87633599999999,-122.2662512
