Hospital Name,Hospital Type,Hospital Ownership,Emergency Services
CARONDELET ST JOSEPHS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
YAVAPAI REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
YUMA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,Acute Care Hospitals,Proprietary,Yes
CASA GRANDE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MARICOPA MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
FLAGSTAFF MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
PHOENIX BAPTIST HOSPITAL,Acute Care Hospitals,Proprietary,No
PAYSON REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
CHANDLER REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,No
ST LUKES MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SIERRA VISTA REGIONAL HEALTH CENTER INC,Acute Care Hospitals,Voluntary non-profit - Other,Yes
KINGMAN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
BANNER BOSWELL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE",Acute Care Hospitals,Voluntary non-profit - Private,Yes
BANNER DESERT MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LA PAZ REGIONAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MT GRAHAM REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
HAVASU REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
FORT DEFIANCE INDIAN HOSPITAL,Acute Care Hospitals,Government - Federal,Yes
TUBA CITY REGIONAL HEALTH CARE CORPORATION,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SELLS INDIAN HEALTH SERVICE HOSPITAL,Acute Care Hospitals,Government - Federal,Yes
SAN CARLOS INDIAN HOSPITAL,Acute Care Hospitals,Government - Federal,Yes
PHOENIX INDIAN MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes
PARADISE VALLEY HOSPITAL,Acute Care Hospitals,Proprietary,No
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,Acute Care Hospitals,Government - Federal,Yes
NORTHWEST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
BANNER BAYWOOD MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BANNER THUNDERBIRD MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
JOHN C LINCOLN DEER VALLEY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BANNER DEL E WEBB MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ARROWHEAD HOSPITAL,Acute Care Hospitals,Proprietary,No
CARONDELET HEART AND VASCULAR INSTITUTE,Acute Care Hospitals,Voluntary non-profit - Church,Yes
WESTERN ARIZONA REGIONAL MEDICAL CTR,Acute Care Hospitals,Proprietary,Yes
MAYO CLINIC HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BANNER HEART HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,No
ARIZONA SPINE AND JOINT HOSPITAL,Acute Care Hospitals,Proprietary,No
SURGICAL SPECIALTY HOSPITAL OF ARIZONA,Acute Care Hospitals,Proprietary,No
WEST VALLEY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
"UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE",Acute Care Hospitals,Voluntary non-profit - Private,Yes
ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,Acute Care Hospitals,Proprietary,No
WHITERIVER PHS INDIAN HOSPITAL,Acute Care Hospitals,Government - Federal,Yes
ORO VALLEY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
BANNER ESTRELLA MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
VALLEY VIEW MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
YAVAPAI REGIONAL MEDICAL CENTER-EAST,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MERCY GILBERT MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
GILBERT HOSPITAL,Acute Care Hospitals,Proprietary,Yes
"MOUNTAIN VISTA MEDICAL CENTER, LP",Acute Care Hospitals,Proprietary,Yes
BANNER GATEWAY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ARIZONA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
HUALAPAI MOUNTAIN MEDICAL CENTER,Acute Care Hospitals,Proprietary,Not Available
PHOENIX VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
BANNER IRONWOOD MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
OASIS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,No
VA S. ARIZONA HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
VA NORTHERN ARIZONA HEALTHCARE SYSTEM,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
WICKENBURG COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
BENSON HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
NORTHERN COCHISE COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
SOUTHEAST ARIZONA MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
PAGE HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
HOPI HEALTH CARE CENTER,Critical Access Hospitals,Government - Federal,Yes
SAGE MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
LITTLE COLORADO MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
COPPER QUEEN COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CARONDELET HOLY CROSS HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
COBRE VALLEY REGIONAL MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WHITE MOUNTAIN REGIONAL MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
PHOENIX CHILDREN'S HOSPITAL,Childrens,Voluntary non-profit - Private,Yes
SILOAM SPRINGS MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JOHNSON REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
WASHINGTON REGIONAL MED CTR AT NORTH HILLS,Acute Care Hospitals,Government - Local,Yes
ST VINCENT INFIRMARY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MERCY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
"JOHN ED CHAMBERS MEM HOSP, INC",Acute Care Hospitals,Voluntary non-profit - Other,Yes
WHITE COUNTY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MENA REGIONAL HEALTH SYSTEM,Acute Care Hospitals,Government - Local,Yes
UAMS MEDICAL CENTER,Acute Care Hospitals,Government - State,Yes
NORTH ARKANSAS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SUMMIT MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
FORREST CITY MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
ST BERNARDS MEDICAL CTR,Acute Care Hospitals,Voluntary non-profit - Church,Yes
"NW ARKANSAS HOSPITALS, LLC",Acute Care Hospitals,Proprietary,Yes
ST JOSEPHS MERCY HEALTH CENTER INC,Acute Care Hospitals,Voluntary non-profit - Church,Yes
BAXTER REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CONWAY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ARKANSAS METHODIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST MARYS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
CRITTENDEN MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
FIVE RIVERS MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
OUACHITA COUNTY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
DREW MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SPARKS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST EDWARD MERCY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MAGNOLIA HOSPITAL,Acute Care Hospitals,Government - Local,Yes
GREAT RIVER MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
JEFFERSON REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,Acute Care Hospitals,Proprietary,Yes
NORTH METRO MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HOT SPRING COUNTY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NATIONAL PARK MEDICAL CENTER,Acute Care Hospitals,Proprietary,No
HARRIS HOSPITAL,Acute Care Hospitals,Proprietary,Yes
SALINE MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HELENA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
MEDICAL CENTER SOUTH ARKANSAS,Acute Care Hospitals,Proprietary,Yes
MEDICAL PARK HOSPITAL,Acute Care Hospitals,Proprietary,Yes
FAYETTEVILLE AR VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,Acute Care Hospitals,Voluntary non-profit - Private,Yes
NEA BAPTIST MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
WHITE RIVER MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LEO N LEVI NATIONAL ARTHRITIS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ARKANSAS HEART HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ST VINCENT MEDICAL CENTER/NORTH,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ARKANSAS SURGICAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PHYSICIANS' SPECIALTY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
NORTH LOGAN MERCY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
RIVER VALLEY MEDICAL CENTER,Critical Access Hospitals,Proprietary,Yes
MERCY HOSPITAL TURNER MEMORIAL,Critical Access Hospitals,Government - Local,Yes
"EUREKA SPRINGS HOSPITAL, LLC",Critical Access Hospitals,Voluntary non-profit - Private,Yes
MERCY HOSPITAL SCOTT COUNTY,Critical Access Hospitals,Voluntary non-profit - Private,Yes
COMMUNITY MEDICAL CENTER IZARD COUNTY,Critical Access Hospitals,Voluntary non-profit - Private,No
CROSSRIDGE COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Church,Yes
MCGEHEE HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
LAWRENCE MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
STONE COUNTY MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
HOWARD MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Local,Yes
BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,Critical Access Hospitals,Voluntary non-profit - Private,Yes
OZARK HEALTH,Critical Access Hospitals,Government - Local,Yes
"DEWITT HOSPITAL & NURSING HOME, INC",Critical Access Hospitals,Voluntary non-profit - Private,Yes
SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Church,Yes
DALLAS COUNTY MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes
BOONEVILLE COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
"DE QUEEN MEDICAL CENTER, INC",Critical Access Hospitals,Voluntary non-profit - Private,Yes
LITTLE RIVER MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
BAPTIST HEALTH MEDICSL CENTER-ARKADELPHIA,Critical Access Hospitals,Voluntary non-profit - Other,Yes
ASHLEY COUNTY MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ST VINCENT MORRILTON,Critical Access Hospitals,Voluntary non-profit - Private,Yes
DELTA MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
BRADLEY COUNTY MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CHICOT MEMORIAL MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ST JOHN'S HOSPITAL-BERRYVILLE,Critical Access Hospitals,Voluntary non-profit - Church,Yes
PIGGOTT COMMUNITY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
OZARKS COMMUNITY HOSPITAL OF GRAVETTE,Critical Access Hospitals,Proprietary,Yes
ARKANSAS CHILDREN'S HOSPITAL,Childrens,Voluntary non-profit - Private,Yes
ST ROSE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ST JOSEPH HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
PENINSULA MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,Acute Care Hospitals,Voluntary non-profit - Other,Yes
QUEEN OF THE VALLEY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
ST HELENA HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SUTTER AMADOR HOSPITAL,Acute Care Hospitals,Government - Local,Yes
ARROYO GRANDE COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MERCY GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
PACIFIC ALLIANCE MEDICAL CENTER,Acute Care Hospitals,Proprietary,No
RIVERSIDE COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
PARADISE VALLEY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
GROSSMONT HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
MAD RIVER COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,No
OROVILLE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BAKERSFIELD MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
